Title,Year,Distributor,Budget (in $),Domestic Opening (in $),Domestic Sales (in $),International Sales (in $),World Wide Sales (in $),Running Time,License
Presumed Innocent,1990,Warner Bros.,July 27 1990 (Domestic),11718981,86303188,135000000,221303188,1 hr 49 min,PG-13
Jungle Cruise,2021,Walt Disney Studios Motion Pictures,July 28 2021 (EMEA),35018731,116987516,103901930,220889446,1 hr 49 min,PG-13
Scary Movie 3,2003,Dimension Films,48000000,49700000,110003217,110670000,220673217,1 hr 24 min,PG-13
Collateral,2004,DreamWorks Distribution,65000000,24701458,101005703,119234222,220239925,2 hr,R
Inferno,2016,Sony Pictures Entertainment (SPE),75000000,14860425,34343574,185677685,220021259,2 hr 1 min,PG-13
Knocked Up,2007,Universal Pictures,30000000,30690990,148768917,71153500,219922417,2 hr 9 min,R
Green Lantern,2011,Warner Bros.,200000000,53174303,116601172,103250000,219851172,1 hr 54 min,PG-13
What Happens in Vegas,2008,Twentieth Century Fox,35000000,20172474,80277646,139097916,219375562,1 hr 39 min,PG-13
It's Complicated,2009,Universal Pictures,85000000,22100820,112735375,106368280,219103655,2 hr 1 min,R
The Terminal,2004,DreamWorks Distribution,60000000,19053199,77872883,141227201,219100084,2 hr 8 min,PG-13
Little Women,2019,Sony Pictures Entertainment (SPE),40000000,16755310,108101214,110742431,218843645,2 hr 15 min,PG
Captain Phillips,2013,Sony Pictures Entertainment (SPE),55000000,25718314,107100855,111690956,218791811,2 hr 14 min,PG-13
The Prince of Egypt,1998,DreamWorks Distribution,70000000,14524321,101413188,117200000,218613188,1 hr 39 min,PG
Jack Reacher,2012,Paramount Pictures,60000000,15210156,80070736,138269859,218340595,2 hr 10 min,PG-13
Kingdom of Heaven,2005,Twentieth Century Fox,130000000,19635996,47398413,170724214,218122627,2 hr 24 min,R
The Emoji Movie,2017,Sony Pictures Entertainment (SPE),50000000,24531923,86089513,131687133,217776646,1 hr 26 min,PG
Smile,2022,Paramount Pictures,September 23 2022 (Iceland),22609925,105935048,111473465,217408513,1 hr 26 min,PG
Too Cool to Kill,2022,Well Go USA Entertainment,February 1 2022 (China),72432,185882,217068722,217254604,1 hr 26 min,PG
Dracula Untold,2014,Universal Pictures,70000000,23514615,56280355,160843925,217124280,1 hr 32 min,PG-13
Central Intelligence,2016,Warner Bros.,50000000,35535250,127440871,89531672,216972543,1 hr 47 min,PG-13
Million Dollar Baby,2004,Warner Bros.,30000000,179953,100492203,116271443,216763646,2 hr 12 min,PG-13
The Help,2011,Walt Disney Studios Motion Pictures,25000000,26044590,169708112,46931000,216639112,2 hr 26 min,PG-13
Twins,1988,Universal Pictures,15000000,11174980,111938388,104676000,216614388,1 hr 47 min,NA
Valentine's Day,2010,Warner Bros.,52000000,56260707,110528528,106000000,216528528,2 hr 5 min,PG-13
Bad Teacher,2011,Sony Pictures Entertainment (SPE),20000000,31603106,100292856,115904636,216197492,1 hr 32 min,R
A Little Red Flower,2020,"December 31, 2020 (China)",20000000,2 hr 2 min,216000000,216000000,216197492,1 hr 32 min,R
The Croods: A New Age,2020,Universal Pictures,November 25 2020 (Domestic),9724200,58568815,157337000,215905815,1 hr 32 min,R
Clear and Present Danger,1994,Paramount Pictures,62000000,20348017,122187717,93700000,215887717,2 hr 21 min,PG-13
One Hundred and One Dalmatians,1961,Walt Disney Studios Motion Pictures,62000000,January 25 1961 (Domestic),144880014,71000000,215880014,2 hr 21 min,PG-13
Ted 2,2015,Universal Pictures,68000000,33507870,81476385,134387221,215863606,1 hr 55 min,R
Bram Stoker's Dracula,1992,Columbia Pictures,40000000,30521679,82522790,133339902,215862692,2 hr 8 min,R
Vertical Limit,2000,Sony Pictures Entertainment (SPE),75000000,15507845,69243859,146420000,215663859,2 hr 4 min,PG-13
Ghostbusters II,1989,Columbia Pictures,June 16 1989 (Domestic),29472894,112494738,102900000,215394738,2 hr 4 min,PG-13
The Patriot,2000,Sony Pictures Entertainment (SPE),110000000,22413710,113330342,101964000,215294342,2 hr 45 min,R
The Sorcerer's Apprentice,2010,Walt Disney Studios Motion Pictures,150000000,17619622,63150991,152132751,215283742,1 hr 49 min,PG
Just Go with It,2011,Sony Pictures Entertainment (SPE),80000000,30514732,103028109,111917482,214945591,1 hr 57 min,PG-13
The Expendables 3,2014,Lionsgate,August 7 2014 (APAC EMEA),15879645,39322544,175335033,214657577,1 hr 57 min,PG-13
Dirty Dancing,1987,Vestron Pictures,6000000,3900000,64577242,150000000,214577242,1 hr 40 min,NA
Creed II,2018,Metro-Goldwyn-Mayer (MGM),50000000,35574710,115715889,98500000,214215889,2 hr 10 min,PG-13
Smallfoot,2018,Warner Bros.,September 20 2018 (EMEA APAC),23045635,83315531,130800000,214115531,2 hr 10 min,PG-13
Public Enemies,2009,Universal Pictures,100000000,25271675,97104620,117000000,214104620,2 hr 20 min,R
The Bourne Identity,2002,Universal Pictures,60000000,27118640,121661683,92372541,214034224,1 hr 59 min,PG-13
Disclosure,1994,Warner Bros.,55000000,10068126,83015089,131000000,214015089,2 hr 8 min,R
"Crouching Tiger, Hidden Dragon",2000,Sony Pictures Classics,17000000,663205,128530421,85446864,213977285,2 hr,PG-13
Pulp Fiction,1994,Miramax,8000000,9311882,107928762,106000000,213928762,2 hr 34 min,R
The Aviator,2004,Miramax,110000000,858021,102610330,111109612,213719942,2 hr 50 min,PG-13
Braveheart,1995,Paramount Pictures,72000000,9938276,75609945,137606271,213216216,2 hr 58 min,R
Into the Woods,2014,Walt Disney Studios Motion Pictures,50000000,31051923,128002372,84900000,212902372,2 hr 5 min,PG
Bedtime Stories,2008,Walt Disney Studios Motion Pictures,80000000,27450296,110101975,102772889,212874864,1 hr 39 min,PG
Miss Congeniality,2000,Warner Bros.,45000000,10046534,106807667,105935053,212742720,1 hr 49 min,PG-13
Sound of Freedom,2023,Angel Studios,July 4 2023 (Domestic),19680879,183234204,29352969,212587173,1 hr 49 min,PG-13
Entrapment,1999,Twentieth Century Fox,66000000,20145595,87704396,124700000,212404396,1 hr 53 min,PG-13
Ace Ventura: When Nature Calls,1995,Warner Bros.,November 10 1995 (Domestic),37804076,108385533,104000000,212385533,1 hr 53 min,PG-13
End of Days,1999,Universal Pictures,100000000,20523595,66889043,145100000,211989043,2 hr 2 min,R
Bridget Jones's Baby,2016,Universal Pictures,35000000,8571785,24252420,187700000,211952420,2 hr 3 min,R
Fury,2014,Sony Pictures Entertainment (SPE),68000000,23702421,85817906,126004791,211822697,2 hr 14 min,R
Battle Los Angeles,2011,Sony Pictures Entertainment (SPE),70000000,35573187,83552429,128266925,211819354,1 hr 56 min,PG-13
Australia,2008,Twentieth Century Fox,130000000,14800723,49554002,162233509,211787511,2 hr 45 min,PG-13
Due Date,2010,Warner Bros.,65000000,32689406,100539043,111241781,211780824,1 hr 35 min,R
Master and Commander: The Far Side of the World,2003,Twentieth Century Fox,150000000,25105990,93927920,117694615,211622535,2 hr 18 min,PG-13
A Series of Unfortunate Events,2004,Paramount Pictures,140000000,30061756,118634549,92833686,211468235,1 hr 48 min,PG
The Little Mermaid,1989,Walt Disney Studios Motion Pictures,November 17 1989 (Domestic),6031914,111543479,99800000,211343479,1 hr 48 min,PG
Nice View,2022,"February 1, 2022 (China)",November 17 1989 (Domestic),1 hr 46 min,211019042,211019042,211343479,1 hr 48 min,PG
District 9,2009,TriStar Pictures,30000000,37354308,115646235,95242715,210888950,1 hr 52 min,R
Moonraker,1979,Metro-Goldwyn-Mayer (MGM),June 29 1979 (Domestic),7108344,70308099,140000000,210308099,1 hr 52 min,R
The Others,2001,Miramax,17000000,14089952,96536177,113424350,209960527,1 hr 41 min,PG-13
